question,choices,answer
"[header] How to clean hairbrushes and combs [title] Remove hair from the brush with your fingers. [step] Get as much hair out of the brush or comb first by simply picking it out with your fingers. Hair should come out fairly easily, so try to be as thorough as possible.","[""[substeps] If hair does come out as you use it, you'll need to repeat the same process several times to eliminate hard to reach strands. Take hairbrushes, combs, and brushes out once you've removed your hair from the brush or comb.""
 ""[substeps] If you have any leftover hair lying around, place a sticky towel under your brush to catch any other hair that falls out as you comb. Toss out hair you weren't brushing on a paper towel to be tied later.""
 ""If you encounter any hair that's stuck on, use a toothpick to loosen it and then remove it with your fingers. [title] Mix a mild cleaner with warm water.""
 ""Pay special attention to hairs that you can't reach easily with your fingers alone. [title] Dry with a clean towel when you're done brushing.""]",B
[header] How to clean colored leather [title] Vacuum or shake off loose debris. [step] Use a furniture attachment to remove all extra dirt and debris from your furniture. Be very gentle when vacuuming so you don't scratch the leather.,"['Also, be mindful of the decal. If the decal gets damaged, then your leather may become burnt or discolored.'
 ""It's more safe to vacuum cushions, fan covers, or coffee tables than to completely clean your leather. [title] Choose a vacuum cleaner that will prevent dust from getting into your upholstery.""
 ""Shake dirt into a bucket or wide container. Shake it until you've collected all the dust and debris.""
 'Brush dust and debris off of other leather items, like purses and gloves. [title] Make a basic cleaning solution with mild soap and water.']",C
"[header] How to benefit from interpersonal therapy [title] Talk to your doctor. [step] The decision to use interpersonal therapy should be discussed with your doctor. If you have depression or a similar condition, you may decide to try interpersonal therapy prior to medication, or you may decide to combine medication with the therapy.","['Once you have discussed your concerns, you can decide which therapy approach is right for you. [substeps] Determine if you want to involve a doctor or a therapist in your therapy.'
 'Your doctor will help determine the best treatment for you, and you may begin to feel better after. [substeps] Some people may not feel comfortable using an interpersonal therapy program.'
 '[substeps] Many forms of interpersonal therapy are used to help dependents or people with depression who have highs and lows. Participating in an interpersonal therapy session may help you better understand what to expect.'
 ""[substeps] If you don't already have a therapist or psychologist, ask your doctor for a referral. You can also search online for therapists who treat your mental illness and use interpersonal therapy.""]",C
"[header] How to dry out dirt [title] Clear any debris. [step] Before you add anything to the dirt, you should make sure that all interfering debris has been cleared away from the area. [substeps] If you keep the debris in place, you may work undesirable material into the soil while working in the lime.","['For example, you may be removing plants from the lawn beds that need frequent cleansing. If you have a garden sprayer, extend it towards a hose and squirt the soil around the roots.'
 'If this is the case, you might consider putting a film over the area and digging a hole around the existing debris. You want to clean the area around the unwanted object before you begin working to prevent the object from falling apart.'
 'The presence of surface debris can also cause the soil to retain more moisture by blocking potentially drying sunlight. At minimum, rake away soggy leaves and old mulch to clear the soil.'
 'Gather a blanket or tarp and drape it over the dirt. Drape the blanket or tarp over as much of the stuck-on dirt as possible.']",B
[header] How to create a frequency table with spss predictive analytics software [title] Collect data and create a title for each variable. [step] For this example you want to test the correlation (if any) between an individuals affinity for cats and their overall happiness. [title] Open the spss software.,"['[step] You will need to ask a random selection of people asking for samples of each product they want to make. [title] Enter your product title into the text box.'
 '[step] Click the menu button on the side of the interface and click "" add (variable name) "". A banner will appear that shows add a mouse clicks and click on "" create new page "".'
 '[title] Get a palette of colors and images and start creating the frequency table. [step] These include picture transparencies (red to white, blue, orange to orange) or color/fotocross (red to green, and blue to green, especially if new).'
 '[step] A dialogue box will appear with several different options. Select "" type in data "", this will produce a blank spreadsheet.']",C
[header] How to get healthy looking nails [title] Trim your nails regularly. [step] Use manicure clippers to trim your nails straight across and round the tips with a gentle curve. It's easier to trim your nails after a bath or shower since they are soft and more gentle to clip.,"[""Don't file your nails immediately after exposure to water as this may weaken your nails. [title] Buff your nails for a healthy shine.""
 ""Only clip down on the length of each nail. Don't trim straight across from the tip of your first one; you risk cutting yourself on this.""
 ""[substeps] While you're in the shower, trim back the length of your nails according to your preference. This will give you an extra length for later.""
 'It may also work to file your nails so your nails are less curved. [substeps] To prevent staining your nails, add ice packs to help you keep the ice pack cool.']",@
"[header] How to become a body piercer [title] Make sure that you are a suitable candidate. [step] Before you go forward with your training, first consider whether piercing is the right option for you. [substeps] Body piercers must be at least 18 years old.","['Pregnant women and those over 21 are at no additional risk of developing injuries or diseases. A figure greater than 33 is considered a well-qualified candidate.'
 ""Since piercing is a sport, you must be 16 years old to be a piercer. If you are over the age of 18, you'll need a detailed diagnosis from a pediatrician and a monthly medical history from a doctor.""
 'Body piercers also need to have exceptional hand-eye coordination. If you have unsteady or shaky hands, keep in mind that this could be a hurdle you may be unable to overcome.'
 ""As a responsible candidate, you'll be responsible for paying for the piercing so you know if it's appropriate for you. Generally, large or tightly open piercings are more acceptable than small or uneaten ones.""]",B
"[header] How to clean out a purse [title] Empty your purse on a flat surface. [step] Take all the empty containers, wrappers, or other trash and throw it away. [title] Clean the outside of your purse with warm water.","['[step] Pour around five gallons (2.4 l) of cold water into a 1 quart (92.6 l) cup. Measure out the toothbrush, for example, and place it in the cup.'
 ""[step] Use soap if it won't damage the purse. If the inside is filled with dust or makeup bits, turn the purse upside-down and tap over a sink.""
 '[step] Cleaning out the inside of your purse will ensure it is neat and neat to look at. To do this, fill a bucket with lukewarm water.'
 '[step] Fill up a bucket with warm water, then cover it in your preferred cleaning solution. Add a few drops of dish soap into the water, then swirl the container around until the solution is evenly distributed throughout the inside.']",A
"[header] How to treat seasonal allergies in cats [title] Keep your cats inside when the pollen count is high in your area. [step] Visit an environment or weather related website to check the allergy forecast for your area. If the pollen count is high, you should keep your cat inside.","['Avoiding contact with the cause of the allergy such as pollens, dust mites and molds, is the best treatment for cat allergies. [substeps] You could look up the allergy forecast on the weather network.'
 '[substeps] Pollen count regulations vary by region or city. In certain areas, allergy smoke indoors and outside may be more prevalent, but in others the pollen counts can drop and your neighborhood could become unsafe.'
 'Invoicing a dosage into the local city or state laboratory is not recommended if you suspect allergies. [substeps] Windows are often turned off when pollen counts in the area are high, while indoor shops and parks tend to have low pollen counts.'
 'If the pollen count is lower, keep your cat outside. [substeps] For example, you could check the pollen count by picking up your cat in the morning and putting it in your car, then placing the cat in a carrier or crate.']",@
"[header] How to seam carpet [title] Position the carpet well. [step] You should plan the seam so that it falls out in an area that gets very little foot traffic. For instance, placing it an area that will be underneath furniture is better than placing it in the center of your room.","['[title] Pick up a piece of fabric to put on the seam. [step] The amount of fabric to use is up to your preference.'
 '[substeps] Hiding the seam also makes it less noticeable. Even a good seam may still be seen from time to time, so hiding it will make your room look more professional and neat.'
 '[substeps] Lay out a medium-sized section of your carpet going 45 °. For instance, if you put it on a dining table, it should be under a dining chair.'
 '[substeps] For instance, if your bedrooms are near the kitchen counter, you should place each staple in a corner of each corner. [title] Measure the area where you plan to either put a staple or seam.']",A
